;station;longitude_start;latitude_start;Voice_mean
236;Transect_Drake_9;-61.2583333;-59.088;1.7
235;Transect_Drake_8;-60.7065;-59.4793333;1.7
234;Transect_Drake_7;-60.0761667;-59.935;1.7
233;Transect_Drake_6;-59.4675;-60.3453333;1.7
232;Transect_Drake_5;-58.8038333;-60.8088333;1.7
231;Transect_Drake_4;-58.4073333;-61.0923333;1.7
230;Transect_Drake_3;-58.054;-61.3231667;1.7
229;Transect_Drake_2;-57.6738333;-61.5805;1.7
228;Transect_Drake_11;-62.2928333;-58.3241667;1.7
227;Transect_Drake_10;-61.7336667;-58.7418333;1.7
226;Transect_Drake_1;-57.2933333;-61.8533333;1.7
225;Transect_9;-59.8205;-62.60636;1.7
224;Transect_8;-60.00811;-62.5456;1.7
223;Transect_7;-59.90805;-62.57982;1.7
222;Transect_6;-59.90655;-62.58047;1.7
221;Transect_5;-55.43116;-61.16595;1.7
220;Transect_4;-55.276;-61.27967;1.7
219;Transect_30;-55.79179;-63.57337;1.7
218;Transect_3;-55.13649;-61.20813;1.7
217;Transect_29;-56.03083;-63.58511;1.7
216;Transect_28;-56.16251;-63.53182;1.7
215;Transect_27;-55.75053;-63.51437;1.7
214;Transect_26;-61.78169;-64.12363;1.7
213;Transect_25;-61.71242;-64.08795;1.7
212;Transect_24;-61.7181;-64.17485;1.7
211;Transect_23;-61.6481;-64.18076;1.7
210;Transect_22;-62.16946;-64.36678;1.7
209;Transect_21;-62.12021;-64.3271;1.7
208;Transect_20;-59.72348;-62.44286;1.7
207;Transect_2;-54.7994;-61.16097;1.7
206;Transect_19;-59.73343;-62.47186;1.7
205;Transect_18;-59.73703;-62.49397;1.7
204;Transect_17;-59.68826;-62.395066;1.7
203;Transect_16;-59.67725;-62.39617;1.7
202;Transect_15;-62.99796;-64.90026;1.7
201;Transect_14;-63.12462;-64.87142;1.7
200;Transect_13;-62.99162;-64.8225;1.7
199;Transect_12;-63.08923;-64.81933;1.7
198;Transect_11;-62.98918;-64.85005;1.7
197;Transect_10;-59.70919;-62.5571;1.7
196;Transect_1;-55.16303;-61.24531;1.7
188;SVAL_24;25.3155555;76.5647222;1.7
187;SVAL_23;27.0711111;78.6911111;1.7
186;SVAL_22;30.9797222;80.0688888;1.7
185;SVAL_21;27.2097222;81.2616666;1.7
184;SVAL_20;22.6808333;80.3536111;1.7
183;SVAL_19;20.2816666;80.8727777;1.7
182;SVAL_17;14.7308333;80.005;1.7
181;SVAL_16;16.0416666;79.1308333;1.7
180;SVAL_15;14.1994444;79.7616666;1.7
179;SVAL_14;12.1313888;79.9191666;1.7
178;SVAL_13;11.5674999;78.8702777;1.7
177;SVAL_12;12.0133333;78.4194444;1.7
176;SVAL_11;13.8141666;78.2358333;1.7
175;SVAL_10;15.3813888;78.2616666;1.7
174;SVAL_09;14.5688888;77.4947222;1.7
173;SVAL_07;14.0313888;77.5622222;1.7
172;SVAL_05;15.0911111;77.0002777;1.7
171;SVAL_04;19.2811111;74.4138888;1.7
135;NOR_25;28.7633333;73.3763888;1.7
263;YLJK27;124.0708;39.6933;-1.58
262;YLJK26;124.0039;39.6947;-1.58
261;YLJK25;123.9403;39.6969;-1.58
260;YLJK24;123.8711;39.6986;-1.58
259;YLJK23;123.8033;39.6936;-1.58
258;YLJK22;123.7336;39.6961;-1.58
257;YLJK21;124.0711;39.7336;-1.58
256;YLJK20;124.0075;39.7314;-1.58
255;YLJK19;123.9367;39.7331;-1.58
254;YLJK18;123.8669;39.7297;-1.58
253;YLJK17;123.8047;39.7314;-1.58
252;YLJK16;123.7567;39.7311;-1.58
251;YLJK15;124.1122;39.6289;-1.58
250;YLJK14;124.0381;39.6256;-1.58
249;YLJK13;123.9431;39.6227;-1.58
248;YLJK12;123.8425;39.6244;-1.58
247;YLJK11;123.7425;39.6236;-1.58
246;YLJK10;124.1281;39.6597;-1.58
