"latitude_start","longitude_start","date","mean_SST_1year","median_SST_1year","q95_SST_1year","q05_SST_1year","min_SST_1year","max_SST_1year","mean_SST_5year","median_SST_5year","q95_SST_5year","q05_SST_5year","min_SST_5year","max_SST_5year"
13.34043,-81.39829,2018-06-28,28.1769945355191,28.12,29.7575,26.7425,26.28,30.27,28.1328705882353,28.06,29.49,26.987,26.28,30.27
13.34043,-81.39829,2018-06-28,28.1769945355191,28.12,29.7575,26.7425,26.28,30.27,28.1324764890282,28.06,29.49,26.9875,26.28,30.27
13.34043,-81.39829,2018-06-28,28.1746448087432,28.12,29.7575,26.7425,26.28,30.27,28.1328705882353,28.06,29.49,26.987,26.28,30.27
13.34043,-81.39829,2018-06-28,28.1746448087432,28.12,29.7575,26.7425,26.28,30.27,28.1324764890282,28.06,29.49,26.9875,26.28,30.27
13.34043,-81.39829,2018-06-29,28.1769945355191,28.12,29.7575,26.7425,26.28,30.27,28.1328705882353,28.06,29.49,26.987,26.28,30.27
13.34043,-81.39829,2018-06-29,28.1769945355191,28.12,29.7575,26.7425,26.28,30.27,28.1324764890282,28.06,29.49,26.9875,26.28,30.27
13.34043,-81.39829,2018-06-29,28.1746448087432,28.12,29.7575,26.7425,26.28,30.27,28.1328705882353,28.06,29.49,26.987,26.28,30.27
13.34043,-81.39829,2018-06-29,28.1746448087432,28.12,29.7575,26.7425,26.28,30.27,28.1324764890282,28.06,29.49,26.9875,26.28,30.27
13.34393,-81.39777,2018-06-29,28.1746448087432,28.12,29.7575,26.7425,26.28,30.27,28.1324764890282,28.06,29.49,26.9875,26.28,30.27
13.36786,-81.38864,2018-06-30,28.1724590163934,28.12,29.7475,26.76,26.31,30.31,28.1333907595928,28.06,29.48,26.98,26.31,30.31
13.39172,-81.38029,2018-07-01,28.1707103825137,28.12,29.7475,26.76,26.31,30.31,28.1328247261346,28.055,29.48,26.98,26.31,30.31
13.38322,-81.35909,2018-07-01,28.1707103825137,28.12,29.7475,26.76,26.31,30.31,28.1328247261346,28.055,29.48,26.98,26.31,30.31
13.36264,-81.34969,2018-07-02,28.164781420765,28.1,29.73,26.73,26.3,30.36,28.126004691165,28.05,29.481,26.98,26.3,30.36
13.34072,-81.35561,2018-07-02,28.1689344262295,28.12,29.7575,26.7425,26.28,30.27,28.130922595778,28.06,29.49,26.989,26.28,30.27
13.36541,-81.41025,2018-07-03,28.1708469945355,28.12,29.7725,26.7925,26.32,30.24,28.1367109375,28.06,29.4805,26.99,26.32,30.24
13.36726,-81.41335,2018-07-03,28.1708469945355,28.12,29.7725,26.7925,26.32,30.24,28.1367109375,28.06,29.4805,26.99,26.32,30.24
13.32225,-81.36716,2018-07-04,28.1655464480874,28.1,29.7575,26.7425,26.28,30.27,28.129968774395,28.05,29.49,26.99,26.28,30.27
3.9982,-81.56845,2018-03-14,27.031912568306,27.11,28.315,25.73,23.6,28.92,27.1645337895637,27.16,28.606,25.6,23.6,29.5
3.99737,-81.56515,2018-03-14,27.031912568306,27.11,28.315,25.73,23.6,28.92,27.1645337895637,27.16,28.606,25.6,23.6,29.5
4.00307,-81.5703,2018-03-16,27.0527322404372,27.125,28.365,25.7925,23.67,29,27.1868573868488,27.17,28.635,25.64,23.67,29.5
4.00307,-81.5703,2018-03-16,27.0527322404372,27.125,28.365,25.7925,23.67,29,27.1888109495295,27.17,28.636,25.64,23.67,29.5
4.00307,-81.5703,2018-03-16,27.0545081967213,27.125,28.365,25.7975,23.67,29,27.1868573868488,27.17,28.635,25.64,23.67,29.5
4.00307,-81.5703,2018-03-16,27.0545081967213,27.125,28.365,25.7975,23.67,29,27.1888109495295,27.17,28.636,25.64,23.67,29.5
4.00307,-81.5703,2018-03-14,27.0527322404372,27.125,28.365,25.7925,23.67,29,27.1868573868488,27.17,28.635,25.64,23.67,29.5
4.00307,-81.5703,2018-03-14,27.0527322404372,27.125,28.365,25.7925,23.67,29,27.1888109495295,27.17,28.636,25.64,23.67,29.5
4.00307,-81.5703,2018-03-14,27.0545081967213,27.125,28.365,25.7975,23.67,29,27.1868573868488,27.17,28.635,25.64,23.67,29.5
4.00307,-81.5703,2018-03-14,27.0545081967213,27.125,28.365,25.7975,23.67,29,27.1888109495295,27.17,28.636,25.64,23.67,29.5
4.01142,-81.59661,2018-03-14,27.0545081967213,27.125,28.365,25.7975,23.67,29,27.1888109495295,27.17,28.636,25.64,23.67,29.5
3.98735,-81.57326,2018-03-15,27.030956284153,27.11,28.315,25.71,23.6,28.92,27.1633418803419,27.155,28.6055,25.6,23.6,29.5
4.00685,-81.60143,2018-03-14,27.0667759562842,27.13,28.3775,25.88,23.75,28.99,27.2088964927288,27.18,28.64,25.704,23.75,29.49
3.98944,-81.60462,2018-03-16,27.0419945355191,27.105,28.34,25.83,23.68,28.9,27.1823313407344,27.16,28.625,25.69,23.68,29.5
4.00885,-81.60547,2018-03-16,27.0646448087432,27.13,28.3775,25.865,23.75,28.99,27.2068915456874,27.18,28.64,25.705,23.75,29.49
4.00515,-81.59995,2018-03-15,27.0536338797814,27.125,28.365,25.7925,23.67,29,27.1876495726496,27.17,28.6355,25.64,23.67,29.5
3.99871,-81.62184,2018-03-15,27.0431967213115,27.105,28.34,25.83,23.68,28.9,27.1831623931624,27.165,28.6255,25.69,23.68,29.5
4.02167,-81.585,2018-03-19,27.0494535519126,27.125,28.365,25.78,23.67,29,27.1835604770017,27.16,28.6335,25.64,23.67,29.5
4.00594,-81.60334,2018-03-24,27.0733879781421,27.13,28.3775,25.865,23.75,28.99,27.2019508057676,27.17,28.64,25.709,23.75,29.49
4.00276,-81.60248,2018-03-24,27.0733879781421,27.13,28.3775,25.865,23.75,28.99,27.2019508057676,27.17,28.64,25.709,23.75,29.49
4.00286,-81.60259,2018-03-25,27.0753551912568,27.13,28.3775,25.865,23.75,28.99,27.2015677966102,27.17,28.64,25.7095,23.75,29.49
3.99357,-81.61842,2018-03-26,27.0530601092896,27.11,28.34,25.82,23.68,28.9,27.1760795935648,27.16,28.62,25.69,23.68,29.5
3.9929,-81.6205,2018-03-26,27.0530601092896,27.11,28.34,25.82,23.68,28.9,27.1760795935648,27.16,28.62,25.69,23.68,29.5
4.00226,-81.60371,2018-03-27,27.0801912568306,27.13,28.3775,25.905,23.75,28.99,27.2000423011844,27.17,28.6395,25.711,23.75,29.49
4.00202,-81.60332,2018-03-27,27.0801912568306,27.13,28.3775,25.905,23.75,28.99,27.2000423011844,27.17,28.6395,25.711,23.75,29.49
4.0023,-81.60392,2018-03-27,27.0801912568306,27.13,28.3775,25.905,23.75,28.99,27.2000423011844,27.17,28.6395,25.711,23.75,29.49
16.48538,-61.50429,2018-02-27,27.7787704918033,27.905,29.11,26.2525,25.93,29.53,27.7274263431542,27.66,29.27,26.35,25.93,29.89
16.50096,-61.51445,2018-02-27,27.7748907103825,27.905,29.115,26.25,25.91,29.54,27.7260485268631,27.67,29.27,26.34,25.91,29.92
16.47047,-61.52166,2018-02-27,27.7787704918033,27.905,29.11,26.2525,25.93,29.53,27.7274263431542,27.66,29.27,26.35,25.93,29.89
16.07855,-61.85716,2018-02-28,28.0098633879781,28.08,29.32,26.4525,26.15,29.65,27.9167705627706,27.86,29.433,26.587,26.13,30.24
16.20771,-61.14683,2018-03-02,27.7751366120219,27.89,29.085,26.22,26.04,29.55,27.715419187554,27.64,29.192,26.388,26.04,29.92
16.359,-61.57521,2018-03-01,27.8186885245902,27.92,29.19,26.21,25.93,29.54,27.7448096885813,27.69,29.2925,26.3375,25.93,29.9
16.37651,-61.52821,2018-03-01,27.7972404371585,27.905,29.1475,26.2,25.91,29.52,27.7270674740484,27.67,29.28,26.31,25.91,29.86
16.20352,-61.53646,2018-02-25,27.9394262295082,28.075,29.3275,26.29,25.98,29.81,27.7874739583333,27.73,29.3845,26.3755,25.98,30.12
16.15962,-61.50619,2018-02-25,27.9394262295082,28.075,29.3275,26.29,25.98,29.81,27.7874739583333,27.73,29.3845,26.3755,25.98,30.12
16.18316,-61.11949,2018-03-02,27.7917213114754,27.895,29.1075,26.25,26.07,29.57,27.7253327571305,27.65,29.2,26.39,26.03,29.94
16.17763,-61.09994,2018-03-02,27.7997267759563,27.9,29.1,26.2625,26.09,29.57,27.7345635263613,27.66,29.196,26.4,26.05,30
16.24619,-61.213,2018-03-02,27.7639344262295,27.9,29.0825,26.21,25.99,29.53,27.7018668971478,27.62,29.19,26.368,25.99,29.88
16.2617,-61.82218,2018-02-26,27.9544262295082,28.02,29.265,26.355,26.04,29.67,27.8706938421509,27.82,29.42,26.51,26.04,30.16
16.26194,-61.82252,2018-02-28,27.9510928961749,28.02,29.265,26.3325,26.04,29.67,27.8677748917749,27.82,29.42,26.501,26.04,30.16
16.2552,-61.54755,2018-02-25,27.8622950819672,28.01,29.29,26.225,25.77,29.68,27.7505208333333,27.69,29.3245,26.35,25.77,29.91
16.24518,-61.87116,2018-02-26,27.988306010929,28.06,29.29,26.4,26.08,29.68,27.8999653078925,27.85,29.444,26.55,26.08,30.19
16.15732,-61.87493,2018-02-26,28.0011202185792,28.08,29.3,26.4325,26.11,29.67,27.9077970511709,27.85,29.434,26.566,26.09,30.21
16.14098,-61.8644,2018-02-28,28.0058196721311,28.095,29.3075,26.4225,26.15,29.66,27.9111341991342,27.86,29.43,26.577,26.11,30.23
16.32673,-61.67195,2018-03-01,27.8742349726776,28.01,29.2725,26.22,25.92,29.62,27.7852422145329,27.74,29.34,26.3775,25.92,29.99
-16.500305,-145.447768,2018-06-18,27.8714207650273,27.955,28.8475,26.4925,26.25,29.07,28.0690276679842,28.26,29.418,26.502,26.03,30.04
-16.500979,-145.449233,2018-06-18,27.8714207650273,27.955,28.8475,26.4925,26.25,29.07,28.0690276679842,28.26,29.418,26.502,26.03,30.04
-16.500383,-145.447721,2018-06-18,27.8714207650273,27.955,28.8475,26.4925,26.25,29.07,28.0690276679842,28.26,29.418,26.502,26.03,30.04
-16.500328,-145.44823,2018-06-19,27.8696994535519,27.95,28.8475,26.4925,26.25,29.07,28.0686650868878,28.26,29.4175,26.5025,26.03,30.04
-16.499774,-145.447065,2018-06-19,27.8805191256831,27.94,28.87,26.51,26.22,29.08,28.0826382306477,28.28,29.4375,26.51,26.04,30.03
-16.500438,-145.447461,2018-06-19,27.8696994535519,27.95,28.8475,26.4925,26.25,29.07,28.0686650868878,28.26,29.4175,26.5025,26.03,30.04
-16.499381,-145.446963,2018-06-20,27.8783879781421,27.935,28.87,26.51,26.22,29.08,28.0822099447514,28.28,29.437,26.51,26.04,30.03
-16.500378,-145.447254,2018-06-20,27.8674863387978,27.945,28.8475,26.4925,26.25,29.07,28.0682478295185,28.26,29.417,26.503,26.03,30.04
-16.515778,-145.463558,2018-06-21,27.8596721311475,27.92,28.89,26.4425,26.21,29.13,28.0646372239748,28.25,29.44,26.4735,26.04,30.06
-16.516914,-145.462426,2018-06-21,27.8596721311475,27.92,28.89,26.4425,26.21,29.13,28.0646372239748,28.25,29.44,26.4735,26.04,30.06
-16.5209,-145.459671,2018-06-22,27.8582240437158,27.92,28.89,26.4425,26.21,29.13,28.064231678487,28.25,29.44,26.474,26.04,30.06
-16.531748,-145.455602,2018-06-24,27.8548633879781,27.91,28.89,26.4425,26.21,29.13,28.0633359559402,28.25,29.44,26.475,26.04,30.06
-16.531748,-145.455602,2018-06-24,27.8548633879781,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
-16.531748,-145.455602,2018-06-24,27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0633359559402,28.25,29.44,26.475,26.04,30.06
-16.531748,-145.455602,2018-06-24,27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
-16.525988,-145.450593,2018-06-25,27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
-16.525988,-145.450593,2018-06-25,27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0623330714847,28.25,29.44,26.476,26.04,30.06
-16.525988,-145.450593,2018-06-25,27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0618210361067,28.25,29.44,26.4765,26.04,30.06
-16.525988,-145.450593,2018-06-25,27.8527322404372,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
-16.525988,-145.450593,2018-06-25,27.8527322404372,27.91,28.89,26.4425,26.21,29.13,28.0623330714847,28.25,29.44,26.476,26.04,30.06
-16.525988,-145.450593,2018-06-25,27.8527322404372,27.91,28.89,26.4425,26.21,29.13,28.0618210361067,28.25,29.44,26.4765,26.04,30.06
-16.525988,-145.450593,2018-06-25,27.8512841530055,27.9,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
-16.525988,-145.450593,2018-06-25,27.8512841530055,27.9,28.89,26.4425,26.21,29.13,28.0623330714847,28.25,29.44,26.476,26.04,30.06
-16.525988,-145.450593,2018-06-25,27.8512841530055,27.9,28.89,26.4425,26.21,29.13,28.0618210361067,28.25,29.44,26.4765,26.04,30.06
-16.531748,-145.455602,2018-06-25,27.8548633879781,27.91,28.89,26.4425,26.21,29.13,28.0633359559402,28.25,29.44,26.475,26.04,30.06
-16.531748,-145.455602,2018-06-25,27.8548633879781,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
-16.531748,-145.455602,2018-06-25,27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0633359559402,28.25,29.44,26.475,26.04,30.06
-16.531748,-145.455602,2018-06-25,27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
-16.525988,-145.450593,2018-06-26,27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
-16.525988,-145.450593,2018-06-26,27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0623330714847,28.25,29.44,26.476,26.04,30.06
-16.525988,-145.450593,2018-06-26,27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0618210361067,28.25,29.44,26.4765,26.04,30.06
-16.525988,-145.450593,2018-06-26,27.8527322404372,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
-16.525988,-145.450593,2018-06-26,27.8527322404372,27.91,28.89,26.4425,26.21,29.13,28.0623330714847,28.25,29.44,26.476,26.04,30.06
-16.525988,-145.450593,2018-06-26,27.8527322404372,27.91,28.89,26.4425,26.21,29.13,28.0618210361067,28.25,29.44,26.4765,26.04,30.06
-16.525988,-145.450593,2018-06-26,27.8512841530055,27.9,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
-16.525988,-145.450593,2018-06-26,27.8512841530055,27.9,28.89,26.4425,26.21,29.13,28.0623330714847,28.25,29.44,26.476,26.04,30.06
-16.525988,-145.450593,2018-06-26,27.8512841530055,27.9,28.89,26.4425,26.21,29.13,28.0618210361067,28.25,29.44,26.4765,26.04,30.06
-16.525988,-145.450593,2018-06-27,27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
-16.525988,-145.450593,2018-06-27,27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0623330714847,28.25,29.44,26.476,26.04,30.06
-16.525988,-145.450593,2018-06-27,27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0618210361067,28.25,29.44,26.4765,26.04,30.06
-16.525988,-145.450593,2018-06-27,27.8527322404372,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
-16.525988,-145.450593,2018-06-27,27.8527322404372,27.91,28.89,26.4425,26.21,29.13,28.0623330714847,28.25,29.44,26.476,26.04,30.06
-16.525988,-145.450593,2018-06-27,27.8527322404372,27.91,28.89,26.4425,26.21,29.13,28.0618210361067,28.25,29.44,26.4765,26.04,30.06
-16.525988,-145.450593,2018-06-27,27.8512841530055,27.9,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
-16.525988,-145.450593,2018-06-27,27.8512841530055,27.9,28.89,26.4425,26.21,29.13,28.0623330714847,28.25,29.44,26.476,26.04,30.06
