"code_spygen","station","latitude_start","longitude_start","X","pH_mean","pH_min","pH_max"
"SPY181729","margarita_south_west","13.34043","-81.39829",1,8.06948184967041,8.05867385864258,8.08044910430908
"SPY181719","margarita_south_west","13.34043","-81.39829",1,8.06948184967041,8.05867385864258,8.08044910430908
"SPY181723","providencia_west","13.34393","-81.39777",2,8.06948184967041,8.05867385864258,8.08044910430908
"SPY181734","providencia_west","13.34393","-81.39777",2,8.06948184967041,8.05867385864258,8.08044910430908
"SPY181732","providencia_north_west","13.36786","-81.38864",3,8.06948184967041,8.05867385864258,8.08044910430908
"SPY181724","providencia_north_west","13.36786","-81.38864",3,8.06948184967041,8.05867385864258,8.08044910430908
"SPY181721","catalina_north","13.39172","-81.38029",4,8.06948184967041,8.05867385864258,8.08044910430908
"SPY181730","catalina_north","13.39172","-81.38029",4,8.06948184967041,8.05867385864258,8.08044910430908
"SPY181725","providencia_north","13.38322","-81.35909",5,8.06948184967041,8.05867385864258,8.08044910430908
"SPY181733","providencia_north","13.38322","-81.35909",5,8.06948184967041,8.05867385864258,8.08044910430908
"SPY181718","providencia_east","13.36264","-81.34969",6,8.06948184967041,8.05867385864258,8.08044910430908
"SPY181727","providencia_east","13.36264","-81.34969",6,8.06948184967041,8.05867385864258,8.08044910430908
"SPY181726","providencia_south_east","13.34072","-81.35561",7,8.06948184967041,8.05867385864258,8.08044910430908
"SPY181731","providencia_south_east","13.34072","-81.35561",7,8.06948184967041,8.05867385864258,8.08044910430908
"SPY181717","patch1","13.36541","-81.41025",8,8.06948184967041,8.05867385864258,8.08044910430908
"SPY181715","patch1","13.36541","-81.41025",8,8.06948184967041,8.05867385864258,8.08044910430908
"SPY181728","patch2","13.36726","-81.41335",9,8.06948184967041,8.05867385864258,8.08044910430908
"SPY181722","patch2","13.36726","-81.41335",9,8.06948184967041,8.05867385864258,8.08044910430908
"SPY181716","patch3","13.32225","-81.36716",10,8.06948184967041,8.05867385864258,8.08044910430908
"SPY180774","patch3","13.32225","-81.36716",10,8.06948184967041,8.05867385864258,8.08044910430908
