"code_spygen","station","latitude_start","longitude_start","date","mean_SST_1year","median_SST_1year","q95_SST_1year","q05_SST_1year","min_SST_1year","max_SST_1year","mean_SST_5year","median_SST_5year","q95_SST_5year","q05_SST_5year","min_SST_5year","max_SST_5year"
"SPY181729","margarita_south_west","13.34043","-81.39829","2018-06-28",28.1769945355191,28.12,29.7575,26.7425,26.28,30.27,28.1328705882353,28.06,29.49,26.987,26.28,30.27
"SPY181719","margarita_south_west","13.34043","-81.39829","2018-06-28",28.1769945355191,28.12,29.7575,26.7425,26.28,30.27,28.1328705882353,28.06,29.49,26.987,26.28,30.27
"SPY181723","providencia_west","13.34393","-81.39777","2018-06-29",28.1746448087432,28.12,29.7575,26.7425,26.28,30.27,28.1324764890282,28.06,29.49,26.9875,26.28,30.27
"SPY181734","providencia_west","13.34393","-81.39777","2018-06-29",28.1746448087432,28.12,29.7575,26.7425,26.28,30.27,28.1324764890282,28.06,29.49,26.9875,26.28,30.27
"SPY181732","providencia_north_west","13.36786","-81.38864","2018-06-30",28.1724590163934,28.12,29.7475,26.76,26.31,30.31,28.1333907595928,28.06,29.48,26.98,26.31,30.31
"SPY181724","providencia_north_west","13.36786","-81.38864","2018-06-30",28.1724590163934,28.12,29.7475,26.76,26.31,30.31,28.1333907595928,28.06,29.48,26.98,26.31,30.31
"SPY181721","catalina_north","13.39172","-81.38029","2018-07-01",28.1707103825137,28.12,29.7475,26.76,26.31,30.31,28.1328247261346,28.055,29.48,26.98,26.31,30.31
"SPY181730","catalina_north","13.39172","-81.38029","2018-07-01",28.1707103825137,28.12,29.7475,26.76,26.31,30.31,28.1328247261346,28.055,29.48,26.98,26.31,30.31
"SPY181725","providencia_north","13.38322","-81.35909","2018-07-01",28.1707103825137,28.12,29.7475,26.76,26.31,30.31,28.1328247261346,28.055,29.48,26.98,26.31,30.31
"SPY181733","providencia_north","13.38322","-81.35909","2018-07-01",28.1707103825137,28.12,29.7475,26.76,26.31,30.31,28.1328247261346,28.055,29.48,26.98,26.31,30.31
"SPY181718","providencia_east","13.36264","-81.34969","2018-07-02",28.164781420765,28.1,29.73,26.73,26.3,30.36,28.126004691165,28.05,29.481,26.98,26.3,30.36
"SPY181727","providencia_east","13.36264","-81.34969","2018-07-02",28.164781420765,28.1,29.73,26.73,26.3,30.36,28.126004691165,28.05,29.481,26.98,26.3,30.36
"SPY181726","providencia_south_east","13.34072","-81.35561","2018-07-02",28.1689344262295,28.12,29.7575,26.7425,26.28,30.27,28.130922595778,28.06,29.49,26.989,26.28,30.27
"SPY181731","providencia_south_east","13.34072","-81.35561","2018-07-02",28.1689344262295,28.12,29.7575,26.7425,26.28,30.27,28.130922595778,28.06,29.49,26.989,26.28,30.27
"SPY181717","patch1","13.36541","-81.41025","2018-07-03",28.1708469945355,28.12,29.7725,26.7925,26.32,30.24,28.1367109375,28.06,29.4805,26.99,26.32,30.24
"SPY181715","patch1","13.36541","-81.41025","2018-07-03",28.1708469945355,28.12,29.7725,26.7925,26.32,30.24,28.1367109375,28.06,29.4805,26.99,26.32,30.24
"SPY181728","patch2","13.36726","-81.41335","2018-07-03",28.1708469945355,28.12,29.7725,26.7925,26.32,30.24,28.1367109375,28.06,29.4805,26.99,26.32,30.24
