station;MOTUs_real;MOTUs_fitted;MOTUs_noimpact;MOTUs_leastimpact
Transect_Drake_6;5;3;3;3
Transect_Drake_7;4;4;3;4
Transect_4;10;14;13;14
Transect_5;8;13;12;13
Transect_20;14;16;15;16
Transect_7;12;13;12;13
Transect_8;17;14;13;14
Transect_23;14;14;13;14
Transect_30;18;12;11;12
Transect_2;14;15;13;15
Transect_9;9;16;15;16
Transect_3;12;15;14;15
Transect_1;13;14;13;14
Transect_25;13;15;13;15
Transect_12;16;25;23;25
Transect_15;13;16;15;16
Transect_13;12;16;14;16
Transect_24;14;16;14;16
Transect_6;12;13;12;13
Transect_14;20;18;17;18
Transect_10;9;11;10;11
Transect_11;12;16;15;16
Transect_Drake_1;2;3;2;3
Transect_28;19;16;14;16
Transect_Drake_2;3;3;2;3
Transect_26;18;15;13;15
Transect_Drake_10;6;3;3;3
Transect_Drake_11;4;3;4;4
Transect_Drake_4;5;4;4;4
Transect_27;16;15;14;15
Transect_Drake_3;3;3;3;3
Transect_Drake_5;3;4;3;4
Transect_Drake_8;4;4;3;4
Transect_Drake_9;2;3;3;3
Transect_22;10;15;14;15
Transect_21;18;24;22;24
Transect_16;16;15;13;15
Transect_19;13;14;13;14
Transect_29;13;14;13;14
Transect_17;11;14;13;14
Transect_18;12;16;15;16
SVAL_11;14;33;60;33
SVAL_21;7;6;11;6
SVAL_23;11;7;13;7
SVAL_16;8;6;11;6
SVAL_12;7;11;20;11
SVAL_10;5;8;14;8
SVAL_15;10;13;24;13
SVAL_20;11;7;13;7
SVAL_05;7;7;14;7
SVAL_04;12;7;14;7
SVAL_19;3;7;12;7
SVAL_09;19;17;30;17
SVAL_07;18;12;21;12
SVAL_14;8;9;16;9
SVAL_13;12;13;24;13
SVAL_24;8;7;12;7
SVAL_17;12;10;18;10
SVAL_22;5;6;10;6
NOR_25;10;8;15;8
Tevennec;49;23;49;23
Baie_Audierne_T5;33;24;58;27
Baie_Audierne_T3;15;24;53;25
Nord_Tevennec;25;22;47;22
Baie_douarnenez_Nord;36;22;49;23
Raz_de_sein;55;23;52;24
Pointe_du_Raz;40;23;54;25
Raz_de_sein-2;48;23;51;23
Baie_Audierne_T7;22;27;65;30
Baie_Audierne_T4;40;24;57;27
Baie_Audierne_T6;18;25;61;28
Baie_Audierne_T1;28;25;56;26
Baie_Audierne_T2;11;24;53;25
curacao_10;95;52;115;91
curacao_9;106;67;118;93
curacao_1;76;80;142;112
curacao_2;78;78;176;139
curacao_4;92;50;116;92
curacao_6;96;70;116;91
curacao_3;97;85;143;113
curacao_7;99;73;121;95
curacao_8;119;67;112;88
curacao_5;79;71;120;95
europa_distance_50m;118;62;110;96
europa_distance_0m;155;63;113;98
juan_distance3;45;62;115;100
taaf_station;71;67;120;104
juan_2;26;61;113;98
glorieuse_distance_0m;182;142;130;113
tromelin_distance_100m;29;75;134;116
glorieuse_distance_50m;158;144;131;114
glorieuse;162;135;124;108
glorieuse_distance_100m;112;141;129;112
tromelin_distance_0m;100;79;141;123
tromelin_distance_50m;14;78;138;120
juan_distance2;18;61;113;98
juan_distance1;40;62;116;101
juan_distance0;29;61;113;98
taaf_station2;84;66;118;103
lagon_faka;154;157;335;157
passe_faka;60;77;172;80
passe_faka_1;140;66;148;69
petit_cul_de_sac_marin_Large;6;41;92;72
petit_cul_de_sac_marin_cote;37;41;102;81
sec_nord;4;30;64;51
sec_sud_1;27;38;79;62
pointe_ferry;40;46;107;85
anse_bertrand_cote;39;37;120;94
anse_bertrand_large;2;39;94;74
anse_colas;27;35;116;91
bouillante_large;24;44;93;73
sec_sud_2;7;51;107;84
jardin_eden;76;39;98;77
fajou;113;45;104;82
st_rose;46;39;108;85
pointe_chateau;34;31;70;55
chateau_petite_terre;12;30;60;47
petite_terre1;81;34;69;54
petite_terre2;71;37;74;58
LENG003;132;126;443;163
LENG013;279;111;341;126
LENG015;110;111;338;125
LENG020;74;97;366;135
LENG016;196;121;369;136
LENG025;63;119;459;170
LENG058;34;111;361;133
LENG055;70;119;346;128
LENG027;190;128;539;199
LENG035;122;149;574;212
LENG032;120;163;599;221
LENG019;92;117;428;158
LENG022;71;135;506;187
LENG029;51;112;420;155
LENG056;123;165;446;165
LENG047;146;150;534;197
LENG039;141;157;608;225
LENG045;197;114;409;151
LENG054;34;128;377;139
LENG033;74;111;429;158
LENG012;138;239;849;313
LENG005;199;177;699;258
LENG006;137;102;359;132
LENG007;264;107;369;136
LENG004;265;102;359;132
LENG009;175;144;479;177
LENG011;233;144;484;179
LENG057;29;145;469;173
LENG030;63;131;482;178
LENG014;193;139;429;158
LENG002;320;106;373;138
LENG037;118;120;463;171
malpelo1;50;55;71;55
malpelo2;78;61;80;61
malpelo6;18;52;68;52
malpelo5;94;65;120;92
malpelo3;70;58;76;58
malpelo4;74;54;73;56
camera3;45;43;80;62
bruv1;69;61;80;61
camera4;97;69;103;79
camera5;72;79;118;91
camera2;84;61;80;61
bruv2;43;57;74;57
camera1;80;46;86;66
menorca_1;24;53;123;80
menorca_2;23;48;118;77
menorca_5;66;52;124;81
mallorca_4;27;44;110;72
mallorca_1;40;44;118;77
menorca_3;42;57;121;79
menorca_4;48;50;131;85
mallorca_2;24;43;116;76
mallorca_3;54;47;118;77
calvi_4;94;101;257;167
menorca_7;43;47;123;80
cap_roux_3;83;73;246;161
menorca_6;22;46;127;82
cap_roux_2;88;80;264;172
banyuls18_2;24;40;106;69
banyuls18_3;44;40;109;71
banyuls18_1;27;44;118;77
calvi_2;96;119;345;225
banyuls18_4;55;42;120;78
banyuls18_5;44;32;117;76
calvi_1;77;106;249;162
calvi_3;90;98;246;160
porquerolles_1;68;93;259;169
carry_le_rouet_1;77;103;289;188
carry_le_rouet_3;101;62;216;140
carry_le_rouet_2;74;86;284;185
porquerolles_2;56;112;311;203
porquerolles_3;73;79;225;147
cap_roux_1;87;79;273;178
banyuls19_3;74;72;219;143
banyuls19_1;72;89;246;160
banyuls19_2;85;106;290;189
marseille;99;76;328;214
imperiaux_2;76;90;296;193
goude;97;68;257;168
GATOPE_FONDS_BLANCS;211;118;222;125
STVINCENT_FONDS_BLANCS;317;127;246;138
GATOPE_BARRIERE_EXTERNE;153;124;230;129
GOLONE_BAIE;81;141;263;148
STVINCENT_BARRIERE_EXTERNE;106;125;242;136
GOLONE_BARRIERE_EXTERNE;238;174;320;180
NEPOUI_FONDS_BLANCS;317;113;212;119
GOLONE_FONDS_BLANCS;363;145;267;150
NEPOUI_BARRIERE_EXTERNE;160;122;228;128
NEPOUI_LAGON;251;137;264;149
NEPOUI_BAIE;127;128;277;156
GATOPE_LAGON;243;136;255;143
STVINCENT_BAIE;141;130;261;147
NOUMEA_LAGON;55;118;261;147
BOURAIL_BARRIERE_EXTERNE;318;128;242;136
STVINCENT_LAGON;223;133;266;149
BOURAIL_FONDS_BLANCS;208;114;217;122
BOURAIL_LAGON;320;122;232;130
NOUMEA_BAIE;116;121;285;160
NOUMEA_FONDS_BLANCS;132;127;244;137
NOUMEA_BARRIERE_EXTERNE;95;125;238;134
BOURAIL_BAIE;414;149;293;165
GATOPE_BAIE;213;130;247;139
GOLONE_LAGON;125;149;271;153
GLN_récif;122;122;217;122
GLN_lagon;105;122;216;122
patch3;123;74;128;101
patch1;65;85;125;98
providencia_east;117;86;163;128
margarita_south_west;125;83;148;117
catalina_north;129;102;181;142
patch2;82;86;124;98
providencia_west;129;80;144;113
providencia_north_west;112;79;158;125
providencia_north;126;73;142;112
providencia_south_east;155;71;167;132
tayrona_saturation_1;121;108;252;199
tayrona_camera_2;112;98;286;226
tayrona_camera_1;132;177;411;324
tayrona_saturation_2;118;140;324;255
YLJK04;10;5;23;14
YLJK05;10;5;25;16
YLJK06;4;11;23;14
YLJK07;8;11;23;14
YLJK08;7;11;22;14
YLJK09;11;11;22;14
YLJK10;10;5;22;13
YLJK11;13;11;22;14
YLJK12;6;11;22;14
YLJK13;8;11;22;13
YLJK14;8;11;22;13
YLJK15;10;5;22;13
YLJK16;8;12;26;16
YLJK17;16;11;24;15
YLJK18;6;11;23;14
YLJK19;11;11;23;14
YLJK20;7;11;23;14
YLJK21;14;11;23;14
YLJK22;7;11;23;14
YLJK23;4;11;23;14
YLJK24;6;11;22;14
YLJK25;10;11;22;13
YLJK26;7;11;23;14
YLJK27;13;11;23;14
